state,date,fips,cases,cases_new,deaths,deaths_new
Alabama,2020-03-13,01,6,6,0,0
Alabama,2020-03-14,01,12,6,0,0
Alabama,2020-03-15,01,23,11,0,0
Alabama,2020-03-16,01,29,6,0,0
Alabama,2020-03-17,01,39,10,0,0
Alabama,2020-03-18,01,51,12,0,0
Alabama,2020-03-19,01,78,27,0,0
Alabama,2020-03-20,01,106,28,0,0
Alabama,2020-03-21,01,131,25,0,0
Alabama,2020-03-22,01,157,26,0,0
Alabama,2020-03-23,01,196,39,0,0
Alabama,2020-03-24,01,242,46,0,0
Alabama,2020-03-25,01,386,144,1,1
Alabama,2020-03-26,01,538,152,3,2
Alabama,2020-03-27,01,639,101,4,1
Alabama,2020-03-28,01,720,81,4,0
Alabama,2020-03-29,01,830,110,5,1
Alabama,2020-03-30,01,947,117,11,6
Alabama,2020-03-31,01,999,52,14,3
Alabama,2020-04-01,01,1108,109,28,14
Alabama,2020-04-02,01,1270,162,32,4
Alabama,2020-04-03,01,1535,265,38,6
Alabama,2020-04-04,01,1632,97,44,6
Alabama,2020-04-05,01,1840,208,45,1
Alabama,2020-04-06,01,2005,165,53,8
Alabama,2020-04-07,01,2197,192,64,11
Alabama,2020-04-08,01,2498,301,67,3
Alabama,2020-04-09,01,2838,340,78,11
Alabama,2020-04-10,01,3008,170,80,2
Alabama,2020-04-11,01,3262,254,93,13
Alabama,2020-04-12,01,3583,321,93,0
Alabama,2020-04-13,01,3805,222,104,11
Alabama,2020-04-14,01,3953,148,114,10
Alabama,2020-04-15,01,4241,288,123,9
Alabama,2020-04-16,01,4404,163,137,14
Alabama,2020-04-17,01,4572,168,151,14
Alabama,2020-04-18,01,4723,151,147,0
Alabama,2020-04-19,01,4903,180,160,13
Alabama,2020-04-20,01,5078,175,164,4
Alabama,2020-04-21,01,5327,249,186,22
Alabama,2020-04-22,01,5610,283,201,15
Alabama,2020-04-23,01,5832,222,197,0
Alabama,2020-04-24,01,6026,194,209,12
Alabama,2020-04-25,01,6213,187,213,4
Alabama,2020-04-26,01,6421,208,219,6
Alabama,2020-04-27,01,6539,118,228,9
Alabama,2020-04-28,01,6750,211,242,14
Alabama,2020-04-29,01,6925,175,262,20
Alabama,2020-04-30,01,7068,143,272,10
Alabama,2020-05-01,01,7294,226,289,17
Alabama,2020-05-02,01,7611,317,288,0
Alabama,2020-05-03,01,7888,277,290,2
Alabama,2020-05-04,01,8112,224,298,8
Alabama,2020-05-05,01,8437,325,315,17
Alabama,2020-05-06,01,8691,254,343,28
Alabama,2020-05-07,01,9046,355,369,26
Alabama,2020-05-08,01,9385,339,383,14
Alabama,2020-05-09,01,9668,283,390,7
Alabama,2020-05-10,01,9889,221,393,3
Alabama,2020-05-11,01,10164,275,403,10
Alabama,2020-05-12,01,10464,300,435,32
Alabama,2020-05-13,01,10700,236,450,15
Alabama,2020-05-14,01,11101,401,473,23
Alabama,2020-05-15,01,11373,272,483,10
Alabama,2020-05-16,01,11674,301,485,2
Alabama,2020-05-17,01,11771,97,488,3
Alabama,2020-05-18,01,12086,315,489,1
Alabama,2020-05-19,01,12376,290,504,15
Alabama,2020-05-20,01,13052,676,522,18
Alabama,2020-05-21,01,13414,362,529,7
Alabama,2020-05-22,01,13670,256,541,12
Alabama,2020-05-23,01,14149,479,549,8
Alabama,2020-05-24,01,14478,329,551,2
Alabama,2020-05-25,01,14986,508,566,15
Alabama,2020-05-26,01,15650,664,580,14
Alabama,2020-05-27,01,16032,382,583,3
Alabama,2020-05-28,01,16530,498,591,8
Alabama,2020-05-29,01,17031,501,610,19
Alabama,2020-05-30,01,17359,328,618,8
Alabama,2020-05-31,01,17952,593,630,12
Alabama,2020-06-01,01,18534,582,646,16
Alabama,2020-06-02,01,18771,237,653,7
Alabama,2020-06-03,01,18851,80,653,0
Alabama,2020-06-04,01,19072,221,653,0
Alabama,2020-06-05,01,19387,315,676,23
Alabama,2020-06-06,01,20043,656,689,13
Alabama,2020-06-07,01,20500,457,692,3
Alabama,2020-06-08,01,20925,425,718,26
Alabama,2020-06-09,01,21422,497,729,11
Alabama,2020-06-10,01,21989,567,744,15
Alabama,2020-06-11,01,22845,856,755,11
Alabama,2020-06-12,01,23710,865,769,14
Alabama,2020-06-13,01,24601,891,773,4
Alabama,2020-06-14,01,25615,1014,773,0
Alabama,2020-06-15,01,26272,657,774,1
Alabama,2020-06-16,01,26912,640,785,11
Alabama,2020-06-17,01,27312,400,790,5
Alabama,2020-06-18,01,28206,894,810,20
Alabama,2020-06-19,01,29002,796,822,12
Alabama,2020-06-20,01,29549,547,838,16
Alabama,2020-06-21,01,30021,472,839,1
Alabama,2020-06-22,01,30454,433,841,2
Alabama,2020-06-23,01,31097,643,864,23
Alabama,2020-06-24,01,32064,967,891,27
Alabama,2020-06-25,01,33206,1142,896,5
Alabama,2020-06-26,01,34183,977,907,11
Alabama,2020-06-27,01,35083,900,919,12
Alabama,2020-06-28,01,35441,358,919,0
Alabama,2020-06-29,01,37175,1734,929,10
Alabama,2020-06-30,01,38045,870,950,21
Alabama,2020-07-01,01,38962,917,972,22
Alabama,2020-07-02,01,40111,1149,985,13
Alabama,2020-07-03,01,41865,1754,1006,21
Alabama,2020-07-04,01,42862,997,1007,1
Alabama,2020-07-05,01,43953,1091,1007,0
Alabama,2020-07-06,01,44878,925,1007,0
Alabama,2020-07-07,01,45785,907,1033,26
Alabama,2020-07-08,01,46962,1177,1058,25
Alabama,2020-07-09,01,49174,2212,1068,10
Alabama,2020-07-10,01,50508,1334,1104,36
Alabama,2020-07-11,01,51947,1439,1114,10
Alabama,2020-07-12,01,53587,1640,1121,7
Alabama,2020-07-13,01,55545,1958,1124,3
Alabama,2020-07-14,01,57255,1710,1164,40
Alabama,2020-07-15,01,59067,1812,1211,47
Alabama,2020-07-16,01,61088,2021,1230,19
Alabama,2020-07-17,01,63091,2003,1265,35
Alabama,2020-07-18,01,65234,2143,1286,21
Alabama,2020-07-19,01,67011,1777,1287,1
Alabama,2020-07-20,01,68891,1880,1291,4
Alabama,2020-07-21,01,70358,1467,1303,12
Alabama,2020-07-22,01,71813,1455,1364,61
Alabama,2020-07-23,01,74212,2399,1397,33
Alabama,2020-07-24,01,76005,1793,1438,41
Alabama,2020-07-25,01,78130,2125,1456,18
Alabama,2020-07-26,01,79294,1164,1473,17
Alabama,2020-07-27,01,81115,1821,1491,18
Alabama,2020-07-28,01,82366,1251,1491,0
Alabama,2020-07-29,01,83782,1416,1538,47
Alabama,2020-07-30,01,85762,1980,1565,27
Alabama,2020-07-31,01,87723,1961,1580,15
Alabama,2020-08-01,01,89349,1626,1603,23
Alabama,2020-08-02,01,91444,2095,1627,24
Alabama,2020-08-03,01,92661,1217,1633,6
Alabama,2020-08-04,01,93702,1041,1666,33
Alabama,2020-08-05,01,94654,952,1695,29
Alabama,2020-08-06,01,96592,1938,1714,19
Alabama,2020-08-07,01,98301,1709,1735,21
Alabama,2020-08-08,01,100173,1872,1755,20
Alabama,2020-08-09,01,101334,1161,1768,13
Alabama,2020-08-10,01,103020,1686,1797,29
Alabama,2020-08-11,01,103851,831,1847,50
Alabama,2020-08-12,01,104786,935,1882,35
Alabama,2020-08-13,01,105557,771,1890,8
Alabama,2020-08-14,01,106309,752,1893,3
Alabama,2020-08-15,01,107580,1271,1896,3
Alabama,2020-08-16,01,108433,853,1898,2
Alabama,2020-08-17,01,109004,571,1925,27
Alabama,2020-08-18,01,110361,1357,1936,11
Alabama,2020-08-19,01,111478,1117,1944,8
Alabama,2020-08-20,01,112449,971,1974,30
Alabama,2020-08-21,01,113632,1183,1996,22
Alabama,2020-08-22,01,114532,900,2011,15
Alabama,2020-08-23,01,115060,528,2013,2
Alabama,2020-08-24,01,116710,1650,2024,11
Alabama,2020-08-25,01,117242,532,2037,13
Alabama,2020-08-26,01,119254,2012,2045,8
Alabama,2020-08-27,01,121023,1769,2076,31
Alabama,2020-08-28,01,122185,1162,2107,31
Alabama,2020-08-29,01,123889,1704,2152,45
Alabama,2020-08-30,01,125235,1346,2162,10
Alabama,2020-08-31,01,126058,823,2182,20
Alabama,2020-09-01,01,127616,1558,2200,18
Alabama,2020-09-02,01,128239,623,2217,17
Alabama,2020-09-03,01,129285,1046,2233,16
Alabama,2020-09-04,01,130393,1108,2266,33
Alabama,2020-09-05,01,131803,1410,2275,9
Alabama,2020-09-06,01,132314,511,2276,1
Alabama,2020-09-07,01,132973,659,2276,0
Alabama,2020-09-08,01,133606,633,2277,1
Alabama,2020-09-09,01,134417,811,2285,8
Alabama,2020-09-10,01,135565,1148,2301,16
Alabama,2020-09-11,01,136703,1138,2333,32
Alabama,2020-09-12,01,137646,943,2350,17
Alabama,2020-09-13,01,138755,1109,2351,1
Alabama,2020-09-14,01,139459,704,2355,4
Alabama,2020-09-15,01,140160,701,2387,32
Alabama,2020-09-16,01,141087,927,2392,5
Alabama,2020-09-17,01,141757,670,2401,9
Alabama,2020-09-18,01,142863,1106,2428,27
Alabama,2020-09-19,01,144164,1301,2437,9
Alabama,2020-09-20,01,144962,798,2437,0
Alabama,2020-09-21,01,145780,818,2439,2
Alabama,2020-09-22,01,146584,804,2457,18
Alabama,2020-09-23,01,147153,569,2488,31
Alabama,2020-09-24,01,148206,1053,2506,18
Alabama,2020-09-25,01,150658,2452,2491,0
Alabama,2020-09-26,01,151591,933,2501,10
Alabama,2020-09-27,01,152321,730,2502,1
Alabama,2020-09-28,01,152983,662,2501,0
Alabama,2020-09-29,01,153554,571,2517,16
Alabama,2020-09-30,01,154701,1147,2540,23
Alabama,2020-10-01,01,155744,1043,2548,8
Alabama,2020-10-02,01,156698,954,2550,2
Alabama,2020-10-03,01,158380,1682,2558,8
Alabama,2020-10-04,01,159169,789,2558,0
Alabama,2020-10-05,01,159713,544,2559,1
Alabama,2020-10-06,01,160477,764,2580,21
Alabama,2020-10-07,01,161418,941,2601,21
Alabama,2020-10-08,01,161975,557,2637,36
Alabama,2020-10-09,01,163465,1490,2653,16
Alabama,2020-10-10,01,164526,1061,2664,11
Alabama,2020-10-11,01,165342,816,2664,0
Alabama,2020-10-12,01,166076,734,2665,1
Alabama,2020-10-13,01,167193,1117,2665,0
Alabama,2020-10-14,01,167977,784,2706,41
Alabama,2020-10-15,01,169162,1185,2756,50
Alabama,2020-10-16,01,170374,1212,2786,30
Alabama,2020-10-17,01,171662,1288,2788,2
Alabama,2020-10-18,01,172626,964,2788,0
Alabama,2020-10-19,01,173485,859,2789,1
Alabama,2020-10-20,01,174528,1043,2805,16
Alabama,2020-10-21,01,175674,1146,2828,23
Alabama,2020-10-22,01,177064,1390,2843,15
Alabama,2020-10-23,01,180916,3852,2859,16
Alabama,2020-10-24,01,183276,2360,2866,7
Alabama,2020-10-25,01,184355,1079,2866,0
Alabama,2020-10-26,01,185322,967,2866,0
Alabama,2020-10-27,01,186437,1115,2892,26
Alabama,2020-10-28,01,187706,1269,2911,19
Alabama,2020-10-29,01,189149,1443,2914,3
Alabama,2020-10-30,01,190496,1347,2932,18
Alabama,2020-10-31,01,192285,1789,2967,35
Alabama,2020-11-01,01,193985,1700,2973,6
Alabama,2020-11-02,01,194892,907,2973,0
Alabama,2020-11-03,01,195929,1037,2987,14
Alabama,2020-11-04,01,197777,1848,3006,19
Alabama,2020-11-05,01,199158,1381,3026,20
Alabama,2020-11-06,01,200714,1556,3049,23
Alabama,2020-11-07,01,202482,1768,3082,33
Alabama,2020-11-08,01,203687,1205,3084,2
Alabama,2020-11-09,01,204857,1170,3084,0
Alabama,2020-11-10,01,206567,1710,3120,36
Alabama,2020-11-11,01,208637,2070,3201,81
Alabama,2020-11-12,01,210637,2000,3213,12
Alabama,2020-11-13,01,213617,2980,3231,18
Alabama,2020-11-14,01,215843,2226,3246,15
Alabama,2020-11-15,01,217822,1979,3248,2
Alabama,2020-11-16,01,219232,1410,3249,1
Alabama,2020-11-17,01,220848,1616,3301,52
Alabama,2020-11-18,01,223486,2638,3347,46
Alabama,2020-11-19,01,225910,2424,3419,72
Alabama,2020-11-20,01,228373,2463,3451,32
Alabama,2020-11-21,01,230708,2335,3457,6
Alabama,2020-11-22,01,232506,1798,3457,0
Alabama,2020-11-23,01,234080,1574,3459,2
Alabama,2020-11-24,01,236865,2785,3472,13
Alabama,2020-11-25,01,239318,2453,3532,60
Alabama,2020-11-26,01,241957,2639,3572,40
Alabama,2020-11-27,01,242874,917,3572,0
Alabama,2020-11-28,01,244993,2119,3572,0
Alabama,2020-11-29,01,247229,2236,3577,5
Alabama,2020-11-30,01,249524,2295,3578,1
Alabama,2020-12-01,01,252900,3376,3638,60
Alabama,2020-12-02,01,256828,3928,3711,73
Alabama,2020-12-03,01,260359,3531,3776,65
Alabama,2020-12-04,01,264199,3840,3831,55
Alabama,2020-12-05,01,267589,3390,3877,46
Alabama,2020-12-06,01,269877,2288,3889,12
Alabama,2020-12-07,01,272229,2352,3892,3
Alabama,2020-12-08,01,276665,4436,3942,50
Alabama,2020-12-09,01,280187,3522,3985,43
Alabama,2020-12-10,01,284922,4735,4034,49
Alabama,2020-12-11,01,288775,3853,4086,52
Alabama,2020-12-12,01,292841,4066,4102,16
Alabama,2020-12-13,01,295631,2790,4102,0
Alabama,2020-12-14,01,297895,2264,4102,0
Alabama,2020-12-15,01,301533,3638,4124,22
Alabama,2020-12-16,01,305640,4107,4198,74
Alabama,2020-12-17,01,310335,4695,4254,56
Alabama,2020-12-18,01,315683,5348,4296,42
Alabama,2020-12-19,01,319904,4221,4389,93
Alabama,2020-12-20,01,322452,2548,4389,0
Alabama,2020-12-21,01,324832,2380,4389,0
Alabama,2020-12-22,01,329811,4979,4452,63
Alabama,2020-12-23,01,334569,4758,4587,135
Alabama,2020-12-24,01,338801,4232,4676,89
Alabama,2020-12-25,01,342426,3625,4680,4
Alabama,2020-12-26,01,343458,1032,4685,5
Alabama,2020-12-27,01,345628,2170,4691,6
Alabama,2020-12-28,01,347897,2269,4712,21
Alabama,2020-12-29,01,351804,3907,4737,25
Alabama,2020-12-30,01,356820,5016,4774,37
Alabama,2020-12-31,01,361226,4406,4827,53
Alabama,2021-01-01,01,365747,4521,4872,45
Alabama,2021-01-02,01,369458,3711,4872,0
Alabama,2021-01-03,01,371934,2476,4873,1
Alabama,2021-01-04,01,374095,2161,4878,5
Alabama,2021-01-05,01,379593,5498,4886,8
Alabama,2021-01-06,01,384184,4591,4994,108
Alabama,2021-01-07,01,389230,5046,5080,86
Alabama,2021-01-08,01,394287,5057,5191,111
Alabama,2021-01-09,01,399150,4863,5299,108
Alabama,2021-01-10,01,401900,2750,5334,35
Alabama,2021-01-11,01,404000,2100,5347,13
Alabama,2021-01-12,01,407848,3848,5573,226
Alabama,2021-01-13,01,410995,3147,5760,187
